City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,khandyga,62.6667,135.6,27.99,49,96,2.48,RU,1721965070
175,belmonte,-15.8631,-38.8828,21.62,86,42,2.22,BR,1721965071
176,thinadhoo,0.5333,72.9333,29.17,71,93,2.84,MV,1721965072
177,new plymouth,-39.0667,174.0833,12.95,100,17,3.74,NZ,1721965073
178,craig,40.5153,-107.5464,22.79,62,97,4.97,US,1721965074
179,bubaque,11.2833,-15.8333,25.98,85,100,8.44,GW,1721965076
180,simanggang,1.2472,111.4528,31.99,62,20,2.57,MY,1721965077
181,kitimat,54.0524,-128.6534,18.21,75,92,4.47,CA,1721965078
182,revda,56.801,59.9303,9.91,98,100,7.54,RU,1721965079
183,keetmanshoop,-26.5833,18.1333,8.4,40,42,2.78,NA,1721965080
184,cooma,-36.2333,149.1333,13.8,34,0,3.42,AU,1721965081
185,barrouallie,13.2333,-61.2667,25.5,82,4,6.17,VC,1721965083
186,wenchang,30.904,118.4887,30.23,77,87,7.5,CN,1721965084
187,mchinji,-13.7984,32.8802,12.0,40,0,1.48,MW,1721965085
188,cobija,-11.0267,-68.7692,23.45,54,3,0.49,BO,1721965086
189,trincomalee,8.5711,81.2335,29.97,67,100,7.67,LK,1721965087
190,vorgashor,67.5833,63.95,11.36,60,100,5.08,RU,1721965089
191,st. john's,47.5649,-52.7093,13.97,89,0,3.09,CA,1721965090
192,la passe,45.5549,-0.8967,16.13,95,2,2.36,FR,1721965091
193,madang,-5.2246,145.7966,29.2,74,86,3.82,PG,1721965092
194,kone,-21.0595,164.8658,24.42,49,17,2.89,NC,1721965095
195,croix-des-bouquets,18.575,-72.225,25.88,81,100,2.78,HT,1721965096
196,tocopilla,-22.092,-70.1979,16.56,75,4,2.36,CL,1721965097
197,saint-philippe,-21.3585,55.7679,19.77,72,0,0.96,RE,1721965099
198,yemva,62.59,50.8594,15.22,48,92,2.19,RU,1721965100
199,saint-joseph,-21.3667,55.6167,19.21,70,0,0.8,RE,1721965101
200,shahdad kot,27.8477,67.9055,37.64,45,43,3.07,PK,1721965102
201,whangarei,-35.7317,174.3239,13.77,63,81,2.11,NZ,1721965104
202,kapuskasing,49.4169,-82.4331,16.05,88,0,2.06,CA,1721965105
203,ostersund,63.1792,14.6357,14.25,94,75,5.14,SE,1721965106
204,kalabo,-14.97,22.6814,11.69,28,0,1.27,ZM,1721965107
205,badger,64.8,-147.5333,28.95,43,20,2.06,US,1721965108
206,ugoofaaru,5.6667,73.0,28.74,76,100,4.59,MV,1721965110
207,trairi,-3.2778,-39.2689,24.29,82,19,4.22,BR,1721965111
208,hovd,48.0056,91.6419,26.95,27,43,2.99,MN,1721965112
209,inarajan village,13.2736,144.7484,31.08,89,57,6.79,GU,1721965113
210,antofagasta,-23.65,-70.4,13.6,82,67,2.36,CL,1721965115
211,el granada,37.5027,-122.4694,23.49,84,20,8.23,US,1721965116
212,ati,13.2154,18.3353,28.11,64,100,4.29,TD,1721965117
213,afaahiti,-17.75,-149.2833,25.59,71,58,7.47,PF,1721965118
214,tralee,52.2704,-9.7026,10.81,97,41,2.03,IE,1721965119
215,pitimbu,-7.4706,-34.8086,22.33,80,7,5.47,BR,1721965120
216,flying fish cove,-10.4217,105.6791,25.82,83,100,6.69,CX,1721965122
217,juneau,58.3019,-134.4197,13.56,98,100,5.14,US,1721965123
218,hasaki,35.7333,140.8333,34.22,78,94,4.05,JP,1721965124
219,hamilton,39.1834,-84.5333,21.23,81,0,0.0,US,1721965125
220,cabo san lucas,22.8909,-109.9124,30.28,66,0,4.63,MX,1721964894
221,aasiaat,68.7098,-52.8699,3.65,95,100,7.74,GL,1721965129
222,oelwein,42.6733,-91.9135,20.14,92,39,3.67,US,1721965130
223,siwa oasis,29.2041,25.5195,27.8,54,9,2.3,EG,1721965131
224,gubakha,58.8386,57.5532,12.87,57,100,4.72,RU,1721965021
225,tirmiz,37.2242,67.2783,31.05,33,0,1.03,UZ,1721965134
226,west island,-12.1568,96.8225,24.99,94,75,4.63,CC,1721965135
227,coari,-4.085,-63.1414,27.38,52,98,0.96,BR,1721965136
228,vadso,70.0744,29.7487,12.49,100,75,1.54,NO,1721965138
229,myitkyina,25.3833,97.4,32.33,65,100,1.2,MM,1721965139
230,port hedland,-20.3167,118.5667,24.03,16,0,5.14,AU,1721965140
231,port douglas,-16.4833,145.4667,23.22,70,82,5.36,AU,1721964893
232,tazovsky,67.4667,78.7,11.09,97,100,3.58,RU,1721965142
233,pimenta bueno,-11.6725,-61.1936,21.66,50,6,1.59,BR,1721965145
234,genhe,50.7833,121.5167,27.29,37,81,4.11,CN,1721965146
235,harlingen,26.1906,-97.6961,27.95,94,0,2.57,US,1721965148
236,biltine,14.5333,20.9167,28.7,61,100,1.88,TD,1721965149
237,kharp,66.8014,65.8081,12.53,59,100,1.38,RU,1721965151
238,isafjordur,66.0755,-23.124,6.68,96,80,2.33,IS,1721965152
239,kanniyakumari,8.0833,77.5667,29.91,74,100,7.81,IN,1721965154
240,merizo village,13.2658,144.6691,30.85,89,54,6.81,GU,1721965155
241,beloyarskiy,63.7119,66.6722,15.74,51,62,2.17,RU,1721965157
242,vilyuchinsk,52.9306,158.4028,18.15,80,44,3.75,RU,1721965158
243,luderitz,-26.6481,15.1594,11.5,83,41,2.8,NA,1721965159
244,san patricio,28.017,-97.5169,27.92,82,83,2.21,US,1721965160
245,tosontsengel,48.7567,98.2839,24.76,34,59,4.39,MN,1721965161
246,kupang,-10.1667,123.5833,31.32,66,75,5.66,ID,1721965162
247,reggane,26.7158,0.1714,31.8,16,0,4.51,DZ,1721965164
248,qarazhal,48.0078,70.7903,26.58,36,99,3.88,KZ,1721965165
249,strezhevoy,60.7333,77.5889,17.07,72,78,1.5,RU,1721965166
250,longyearbyen,78.2186,15.6401,11.91,66,75,5.14,SJ,1721965167
251,rehli,23.6333,79.0833,27.73,82,100,5.67,IN,1721965168
252,portage la prairie,49.9728,-98.2926,24.5,61,100,9.33,CA,1721965170
253,georgetown,5.4112,100.3354,31.97,58,20,6.69,MY,1721965171
254,medina,24.4686,39.6142,29.24,21,0,0.0,SA,1721965172
255,sitangkai,4.6628,119.3928,28.78,78,57,4.4,PH,1721965174
256,zyrya,40.3661,50.2917,26.05,65,72,5.12,AZ,1721965175
257,laguna,38.421,-121.4238,32.99,25,0,5.14,US,1721965176
258,sao joao da barra,-21.6403,-41.0511,22.03,81,0,6.71,BR,1721965178
259,malango,-2.9627,119.9001,26.83,70,50,1.59,ID,1721965179
260,filadelfia,39.9523,-75.1638,23.39,88,62,4.2,US,1721965180
261,auna,10.1881,4.7232,23.25,94,99,2.87,NG,1721965181
262,trinidad,-14.8333,-64.9,23.67,49,1,1.13,BO,1721965182
263,new norfolk,-42.7826,147.0587,14.84,50,76,4.42,AU,1721965184
264,rawson,-43.3002,-65.1023,6.92,45,0,6.65,AR,1721965185
265,sinabang,2.4803,96.3801,30.25,61,85,4.01,ID,1721965186
266,igarka,67.4667,86.5833,19.79,57,82,7.4,RU,1721965188
267,palikir - national government center,6.9248,158.1611,30.41,74,75,2.57,FM,1721965189
268,magadan,59.5667,150.8,17.49,54,91,2.5,RU,1721965190
269,vila franca do campo,37.7167,-25.4333,21.23,87,1,1.71,PT,1721965192
270,irtyshsk,53.3333,75.4572,20.26,67,74,6.33,KZ,1721965193
271,chonchi,-42.6128,-73.8092,3.95,89,54,1.33,CL,1721965194
272,nemuro,43.3236,145.575,14.29,84,100,2.72,JP,1721965195
273,san pedro,14.35,121.0167,31.57,71,40,5.14,PH,1721965196
274,bhag,29.0415,67.8239,38.47,40,7,3.5,PK,1721965197
275,boguchany,58.3814,97.4531,26.74,50,12,1.83,RU,1721965176
276,la'ie,21.6477,-157.9253,27.98,77,100,5.36,US,1721965200
277,opuwo,-18.0607,13.84,12.93,35,0,0.54,NA,1721965202
278,shevchenko,48.5,35.0,21.71,37,92,2.49,UA,1721965203
279,laojunmiao,39.8333,97.7333,28.09,19,100,7.13,CN,1721965204
280,dunedin,-45.8742,170.5036,12.79,71,100,1.79,NZ,1721965206
281,yelan',50.949,43.7378,17.86,54,39,3.71,RU,1721965207
282,nuuk,64.1835,-51.7216,3.34,100,100,10.29,GL,1721965208
283,ilion,38.0333,23.7,27.07,57,20,3.6,GR,1721965209
284,westport,41.1415,-73.3579,23.02,72,0,2.06,US,1721965210
285,banda aceh,5.5577,95.3222,32.1,57,76,6.05,ID,1721965212
286,mukalla,14.5425,49.1242,28.12,78,66,3.01,YE,1721965213
287,kyren,51.6828,102.1408,22.1,67,100,1.06,RU,1721965214
288,vinogradovo,56.9333,37.55,16.29,68,24,1.38,RU,1721965215
289,nyandoma,61.669,40.1991,16.26,58,38,0.62,RU,1721965216
290,griffith,41.5284,-87.4237,19.6,84,0,2.57,US,1721965217
291,carutapera,-1.195,-46.02,23.67,93,34,2.51,BR,1721965219
292,arafat,39.0344,44.6198,17.28,73,0,1.62,IR,1721965220
293,mbekenyera,-10.0,38.9833,15.45,80,0,1.04,TZ,1721965221
294,ishpeming,46.4885,-87.6676,13.6,92,0,1.52,US,1721965222
295,arhavi,41.3492,41.3069,21.95,63,1,0.77,TR,1721965223
296,weinzierl bei krems,48.4,15.6,14.74,91,25,0.39,AT,1721965225
297,robertsport,6.7533,-11.3686,24.54,83,100,5.27,LR,1721965226
298,acarau,-2.8856,-40.12,24.64,82,11,6.21,BR,1721965227
299,nar'yan-mar,67.6713,53.087,10.17,64,69,5.26,RU,1721965228
300,chernyshevsk,52.5243,117.0174,31.61,25,0,5.65,RU,1721965229
301,lubao,14.9167,120.55,30.04,75,100,7.09,PH,1721965230
302,basoko,1.2391,23.616,21.99,90,93,1.2,CD,1721965232
303,caxito,-8.5785,13.6643,20.82,83,99,0.26,AO,1721965233
304,kenora,49.8167,-94.4337,22.54,64,20,4.63,CA,1721965234
305,caxias,38.7031,-9.2767,20.51,84,20,3.6,PT,1721965235
306,caleta de carquin,-11.0925,-77.6267,16.54,85,37,3.1,PE,1721965236
307,magistral'nyy,56.1725,107.4458,29.77,43,93,2.61,RU,1721965237
308,boa vista,2.8197,-60.6733,25.99,89,40,2.06,BR,1721965239
309,wenling,28.3669,121.36,27.81,87,100,10.18,CN,1721965240
310,charcas,23.1333,-101.1167,15.92,85,100,2.44,MX,1721965241
311,antsiranana,-12.2787,49.2917,19.42,77,75,0.0,MG,1721965242
312,usinsk,65.9939,57.5281,12.27,59,81,5.2,RU,1721965243
313,kolonia,50.9333,6.95,19.51,84,100,1.54,DE,1721965245
314,dakhla,23.6848,-15.958,19.33,93,0,5.84,EH,1721965246
315,rawatsar,29.2833,74.3833,36.7,46,42,3.44,IN,1721965247
316,mount gambier,-37.8333,140.7667,13.01,76,91,6.28,AU,1721965248
317,saldanha,-33.0117,17.9442,13.03,92,99,3.02,ZA,1721965249
318,taoudenni,22.6783,-3.9836,34.42,16,8,1.79,ML,1721965250
319,vegreville,53.5001,-112.0518,12.39,76,67,6.17,CA,1721965252
320,al ghayzah,16.2079,52.176,26.76,82,100,4.66,YE,1721965253
321,sivrihisar,39.4504,31.5341,17.15,81,0,4.11,TR,1721965254
322,vuktyl,63.8567,57.3094,14.19,59,5,0.81,RU,1721965255
323,camana,-16.6228,-72.7111,15.29,88,20,3.91,PE,1721965256
324,seeb,23.6703,58.1891,36.05,30,20,2.57,OM,1721965257
325,xilin hot,43.9667,116.0333,28.67,34,31,3.82,CN,1721965259
326,port blair,11.6667,92.75,30.02,84,100,6.17,IN,1721965260
327,kendari,-3.945,122.4989,27.7,81,50,2.02,ID,1721965261
328,oudtshoorn,-33.5907,22.2014,9.2,53,0,2.14,ZA,1721965262
329,cidreira,-30.1811,-50.2056,15.52,95,28,0.18,BR,1721965263
330,dudinka,69.4058,86.1778,18.83,52,100,5.31,RU,1721965265
331,vilhena,-12.7406,-60.1458,20.12,51,30,1.16,BR,1721965266
332,howrah,22.5892,88.3103,31.0,79,75,5.14,IN,1721965267
333,mount pleasant,32.7941,-79.8626,25.11,97,75,1.34,US,1721965268
334,moyale,3.5167,39.0584,18.32,81,94,4.22,KE,1721965269
335,haiku-pauwela,20.9219,-156.3051,26.01,68,40,10.29,US,1721965270
336,veraval,20.9,70.3667,27.99,87,100,9.06,IN,1721965272
337,leamington,42.0549,-82.6062,18.99,52,61,1.79,CA,1721965273
338,ilabaya,-17.4208,-70.5133,17.0,42,0,0.68,PE,1721965274
339,kearney,40.6995,-99.0815,25.14,76,0,3.09,US,1721965275
340,tharangambadi,11.0319,79.8528,32.02,52,96,8.36,IN,1721965276
341,kuraymah,18.55,31.85,33.05,43,90,6.28,SD,1721965277
342,shillong,25.5689,91.8831,25.02,74,75,1.54,IN,1721965279
343,awjilah,29.1081,21.2869,27.36,48,0,3.35,LY,1721965281
344,shadrinsk,56.0852,63.6335,13.07,96,100,8.9,RU,1721965283
345,isla mujeres,21.2311,-86.731,28.03,84,100,4.49,MX,1721965285
346,la ronge,55.1001,-105.2842,25.14,73,75,2.06,CA,1721965286
347,holualoa,19.6228,-155.9522,26.91,81,75,5.14,US,1721965255
348,kasama,-10.2129,31.1808,9.11,42,1,1.11,ZM,1721965288
349,al mijlad,11.0333,27.7333,25.14,78,98,6.87,SD,1721965289
350,lerwick,60.1545,-1.1494,12.0,89,100,5.1,GB,1721965290
351,broken hill,-31.95,141.4333,16.34,37,0,3.87,AU,1721965292
352,zheleznodorozhnyy,55.7503,38.0042,16.85,62,20,1.7,RU,1721965293
353,barra de santo antonio,-9.4047,-35.5072,20.6,83,35,5.77,BR,1721965294
354,giyani,-23.3025,30.7187,12.29,94,12,0.58,ZA,1721965295
355,manoharpur,27.3,75.95,30.57,70,99,3.71,IN,1721965298
356,borogontsy,62.6683,131.1683,31.16,36,89,1.74,RU,1721965299
357,guxhagen,51.2,9.4833,18.82,88,75,0.51,DE,1721965300
358,howard springs,-12.497,131.047,30.95,73,96,4.66,AU,1721965301
359,puerto cortez,15.8333,-87.95,28.19,85,100,3.02,HN,1721965299
360,al bawiti,28.3492,28.8659,25.41,59,1,3.04,EG,1721965303
361,queenstown,-31.8976,26.8753,4.67,49,0,2.93,ZA,1721965305
362,alice springs,-23.7,133.8833,15.75,55,75,4.63,AU,1721965019
